u_apercor,g_apercor,r_apercor,i_apercor,z_apercor,y_apercor,zhelio
24.362068313504015,24.13691275831234,23.4903421668869,22.7771812514416,22.319675571065513,22.100980004346354,0.9576695
23.552186242313304,23.42073418523174,23.0108630365729,22.55072285753306,22.277656396414223,21.860865580296277,0.9090429
23.98333027690881,24.104437961058824,23.46114512931487,23.359427725562156,22.929944197445536,22.690174524695536,0.50297445
24.665840193356985,24.40893760141602,23.544115215207224,23.15513954297778,22.706476643964955,22.89469094937443,0.6498387
23.518038697473454,22.746857618581156,21.571629015021305,20.645176371431877,20.42892574500214,20.306110163908393,0.6794403
22.75572314644468,21.915840532031797,21.393364985182895,21.148952203502468,21.052235694901828,20.830114249172553,0.07407781
25.83034084484704,23.938748190014064,22.38149250624715,21.191034034423367,20.743077553173237,20.451959738497095,0.68388146
23.200600264602542,23.011100915829978,22.42900761047911,22.032358024361056,21.832157163440527,21.69352033933641,0.65113693
23.992354223240053,23.95905792446291,24.06863122289454,23.566075584225228,23.502157049934606,23.542234031428805,1.0579633
24.28261243126065,23.743738493631625,22.9719873069492,22.347013101570404,22.100650505081394,21.986541707191115,0.6494467
24.32172127833182,24.03946108654323,23.460155023321175,22.72814800097278,22.77184510219631,22.844962229058254,0.74549794
24.033619362207784,24.044662514248806,23.844953065424715,23.541182043311725,23.244810691711628,22.986582155777597,1.0575615
23.770249719087726,23.50096564042338,23.613285188214522,22.84620196465944,22.38571930751008,22.85060330105805,0.9109197
21.50726961160199,21.620061719812465,20.823160169517916,20.624998774741233,20.49111741295334,21.710252463219092,0.53148323
24.73333204291547,24.432838336412594,24.356367667774634,23.538171220296594,23.608087474883618,22.705365672404376,0.68207264
22.452644945166025,21.73786870324119,21.341514888794052,21.176298323903634,21.059966076494884,21.060815563152666,0.18676311
24.88862981873389,24.80147526198044,24.149797366799742,23.69402056605592,23.500828446118735,23.59514463035505,0.7353654
24.270051226769947,23.84680132518274,23.182567580860887,22.54639679749441,22.27029180642985,22.259748909318986,0.7695754
23.37228339743806,22.999821881955597,22.43275756978134,22.279889735422238,22.316187567594636,22.01427899030532,0.3601156
23.835292598559278,23.503338954481364,22.712564263670586,22.297300574159838,22.154114542218462,22.164424826055168,0.60106605
